&Reac_Pressure,Coolant_OutletTemp,T10,ColumnPC_OP,CondDuty_OutletTemp
29.9396,47.1669,182.235,47.6326,61.1599
29.4974,45.7063,182.218,47.2119,61.6422
29.1028,45.497,182.275,48.3266,61.747
28.8263,46.0931,182.318,49.5561,61.3308
28.6948,47.1695,182.296,49.5242,60.8892
28.7012,48.4944,182.253,48.8005,60.7863
28.8254,49.8483,182.254,48.7979,60.8374
29.0361,51.0194,182.289,49.6602,60.6758
29.2864,51.8396,182.299,50.1902,60.3399
29.5412,52.2371,182.265,49.694,60.177
29.7559,52.19,182.235,48.9166,60.3425
29.8973,51.7941,182.241,48.809,60.596
29.9562,51.1878,182.269,49.2379,60.6823
29.9355,50.5408,182.274,49.3344,60.6538
29.8539,49.9869,182.254,48.8343,60.7413
29.7384,49.6117,182.243,48.4094,60.9714
29.6153,49.4484,182.258,48.595,61.134
29.5068,49.4864,182.28,49.0324,61.1028
29.4276,49.6824,182.278,49.1127,60.9968
29.3814,49.996,182.263,48.7902,60.9888
29.3708,50.3632,182.257,48.6076,61.0753
29.391,50.7189,182.271,48.8434,61.0999
29.432,51.0152,182.28,49.1108,61.0141
29.4817,51.2193,182.271,49.0112,60.9441
29.5315,51.3272,182.258,48.6834,60.9915
29.5721,51.341,182.257,48.5559,61.1013
29.5973,51.2838,182.267,48.712,61.1489
29.6057,51.1877,182.272,48.8102,61.1299
29.5991,51.0836,182.265,48.6375,61.1414
29.5813,50.9983,182.257,48.405,61.2261
29.5574,50.9485,182.26,48.3912,61.3157
29.5325,50.9417,182.268,48.5493,61.3323
29.5115,50.9748,182.27,48.6031,61.3038
29.4959,51.0414,182.263,48.4593,61.3078
29.4876,51.1284,182.258,48.3206,61.3624
29.4864,51.2227,182.261,48.3644,61.4057
29.4911,51.3105,182.266,48.4841,61.3959
29.4995,51.3837,182.265,48.4749,61.3716
29.5094,51.4372,182.258,48.3325,61.3907
29.5184,51.4689,182.256,48.2415,61.4432
29.5255,51.4832,182.261,48.2904,61.4794
29.5296,51.4839,182.264,48.3614,61.4765
29.5303,51.4773,182.261,48.3112,61.4746
29.5282,51.4698,182.257,48.1896,61.5091
29.5241,51.4664,182.256,48.1486,61.5588
29.519,51.4704,182.26,48.211,61.5804
29.514,51.4826,182.262,48.249,61.5742
29.5099,51.5029,182.259,48.1867,61.5777
29.5072,51.5285,182.256,48.1028,61.6083
29.506,51.5573,182.257,48.1001,61.641
29.5062,51.5863,182.26,48.1555,61.648
29.5075,51.6124,182.26,48.1625,61.6414
29.5094,51.6345,182.257,48.0949,61.6513
29.5113,51.6518,182.256,48.0369,61.6812
29.513,51.6648,182.257,48.0484,61.7053
29.5142,51.6746,182.259,48.0874,61.7093
29.5148,51.6815,182.259,48.0729,61.7086
29.5148,51.687,182.257,48.012,61.7239
29.5142,51.6924,182.256,47.9776,61.7508
29.5134,51.6986,182.258,47.9956,61.7677
29.5124,51.7064,182.259,48.0194,61.7694
29.5116,51.7155,182.258,47.9968,61.7714
29.5109,51.7259,182.256,47.9488,61.7869
29.5106,51.7369,182.256,47.9325,61.8071
29.5106,51.7481,182.258,47.9521,61.8172
29.5108,51.7591,182.258,47.9614,61.8175
29.5112,51.7689,182.257,47.933,61.8222
29.5117,51.7776,182.256,47.8973,61.8374
29.5122,51.7851,182.257,47.8921,61.8532
29.5126,51.7916,182.258,47.9084,61.8594
29.5129,51.7974,182.258,47.9071,61.8604
